GENOMIC,GENUS,SPECIES,FIELD_POP ID,GREENHOUSE,VOUCHER SPECIMEN,COLLECTION DATE,PROVENANCE,COUNTRY,STATE_PROVINCE,SPECIFIC LOCALITY,LATITUDE,LONGITUDE,NOTES,MATERIAL,NANODROP CONCENTRATION (ng/uL),NANODROP 260:280 RATIO,PUBLISHED
,Lycium,andersonii,Style collection 10-06,,same population as Miller & Levin 10-05,1/10/2010,North America,Mexico,Baja California Sur,,27.4116,-112.574,Same spot as Miller & Levin 10-05, ,,,
,Lycium,andersonii,Style collection 10-18,,same population as Miller & Levin 10-17,1/12/2010,North America,Mexico,Baja California Sur,"roadside north of Santa Rosalilita, turnoff at km 33",28.775,-114.108,"roadside north of Santa Rosalilita, turnoff at km 33", ,,,
,Lycium,andersonii,Style collection 10-19,,same population as Miller & Levin 10-17,1/12/2010,North America,Mexico,Baja California Sur,"roadside north of Santa Rosalilita, turnoff at km 33",28.775,-114.108,"roadside north of Santa Rosalilita, turnoff at km 33", ,,,
,Lycium,andersonii,Style collection 10-20,,same population as Miller & Levin 10-17,1/12/2010,North America,Mexico,Baja California Sur,"roadside north of Santa Rosalilita, turnoff at km 33",28.775,-114.108,"roadside north of Santa Rosalilita, turnoff at km 33", ,,,
673,Lycium,andersonii,,,,2/7/1998,North America,United States,Arizona; Maricopa Co.,"Phoenix, South Mountain Park",,,,silica,,,
1002,Lycium,andersonii,S51-08,,,3/23/2008,North America,United States,California,ca 18 mi NW Yucca Valley on Hwy 247 w/ creosote,34.347,-116.517,ca 18 mi NW Yucca Valley on Hwy 247 w/ creosote; (032), ,,,
1003,Lycium,andersonii,S61-08,,,3/23/2008,North America,United States,California,,34.756,-117.008,, ,,,
,Lycium,andersonii,BCS-23,,,1/11/2009,North America,Mexico,Baja California Sur,,24.878,-112.046,, ,,,
,Lycium,andersonii,BCS-26,,,1/11/2009,North America,Mexico,Baja California Sur,,24.939,-111.922,, ,,,
,Lycium,andersonii,BCS-28,,,1/11/2009,North America,Mexico,Baja California Sur,,24.976,-111.854,, ,,,
